Number of Vehicles,Number of Casualties,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle,Time (Intervals),Date (Intervals),Age (Intervals)
2,2,11/10/2012,1610,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,46,Car,1600-1959,November,40 - 49
2,2,11/10/2012,1610,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,33,Car,1600-1959,November,30 - 39
3,2,11/10/2012,1330,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,52,Car,1200-1559,November,50 - 59
3,2,11/10/2012,1330,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,53,Car,1200-1559,November,50 - 59
1,1,11/11/2012,750,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,21,Car,400-759,November,20 - 29
2,2,11/11/2012,1257,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,84,Car,1200-1559,November,80- 89
2,2,11/11/2012,1257,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,82,Car,1200-1559,November,80- 89
2,1,11/11/2012,405,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Serious,Male,40,Pedal cycle,400-759,November,40 - 49
1,1,11/11/2012,1700,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Female,19,Car,1600-1959,November,10 - 19
1,1,11/12/2012,930,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,39,Car,800-1159,November,30 - 39
1,1,11/12/2012,1127,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Serious,Male,29,Car,800-1159,November,20 - 29
1,1,11/12/2012,1122,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,70,Car,800-1159,November,70 - 79
2,2,11/13/2012,1340,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,37,Car,1200-1559,November,30 - 39
2,2,11/13/2012,1340,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,20,Car,1200-1559,November,20 - 29
2,3,11/13/2012,1755,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,18,Car,1600-1959,November,10 - 19
2,3,11/13/2012,1755,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,22,Car,1600-1959,November,20 - 29
2,3,11/13/2012,1755,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,57,Car,1600-1959,November,50 - 59
1,1,11/13/2012,1616,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,71,Bus or coach (17 or more passenger seats),1600-1959,November,70 - 79
2,1,11/13/2012,1310,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,42,Car,1200-1559,November,40 - 49
1,1,11/13/2012,1600,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,26,Bus or coach (17 or more passenger seats),1600-1959,November,20 - 29
2,1,11/14/2012,730,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,25,Pedal cycle,400-759,November,20 - 29
2,1,11/14/2012,750,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,17,Motorcycle over 50cc and up to 125cc,400-759,November,10 - 19
2,1,11/14/2012,1554,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,54,Car,1200-1559,November,50 - 59
1,1,11/14/2012,1728,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,30,Car,1600-1959,November,30 - 39
3,1,11/15/2012,800,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,40,Car,800-1159,November,40 - 49
1,1,11/15/2012,1454,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,35,Car,1200-1559,November,30 - 39
1,1,11/15/2012,1535,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,15,Car,1200-1559,November,10 - 19
2,1,11/15/2012,2030,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,45,Car,2000-2359,November,40 - 49
3,1,11/15/2012,1925,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,37,Car,1600-1959,November,30 - 39
2,1,11/15/2012,1800,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,35,Pedal cycle,1600-1959,November,30 - 39
3,1,11/16/2012,723,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,44,Car,400-759,November,40 - 49
1,1,11/16/2012,1550,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,55,Car,1200-1559,November,50 - 59
3,2,11/16/2012,1700,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,32,Car,1600-1959,November,30 - 39
3,2,11/16/2012,1700,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,32,Car,1600-1959,November,30 - 39
3,2,11/17/2012,1515,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,19,Car,1200-1559,November,10 - 19
3,2,11/17/2012,1515,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,18,Car,1200-1559,November,10 - 19
2,1,11/17/2012,115,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Serious,Female,63,Car,0-359,November,60 - 69
2,1,11/17/2012,1335,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,26,Pedal cycle,1200-1559,November,20 - 29
1,2,11/18/2012,1149,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,22,M/cycle 50cc and under,800-1159,November,20 - 29
1,2,11/18/2012,1149,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,73,M/cycle 50cc and under,800-1159,November,70 - 79
2,1,11/18/2012,1500,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,7,Car,1200-1559,November,0 - 9
1,1,11/18/2012,450,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,19,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,400-759,November,10 - 19
2,1,11/18/2012,2050,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,45,Taxi/Private hire car,2000-2359,November,40 - 49
2,1,11/18/2012,1430,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,30,Car,1200-1559,November,30 - 39
1,1,11/19/2012,955,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,37,M/cycle 50cc and under,800-1159,November,30 - 39
2,2,11/20/2012,815,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,18,Car,800-1159,November,10 - 19
2,2,11/20/2012,815,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,58,Car,800-1159,November,50 - 59
1,1,11/20/2012,900,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,23,Car,800-1159,November,20 - 29
4,1,11/20/2012,933,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Serious,Male,43,Car,800-1159,November,40 - 49
2,1,11/20/2012,1525,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,28,Motorcycle over 50cc and up to 125cc,1200-1559,November,20 - 29
1,1,11/20/2012,1623,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,7,Car,1600-1959,November,0 - 9
1,2,11/20/2012,1854,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,24,Car,1600-1959,November,20 - 29
1,2,11/20/2012,1854,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Serious,Female,40,Car,1600-1959,November,40 - 49
2,1,11/20/2012,1615,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,32,Car,1600-1959,November,30 - 39
2,1,11/21/2012,905,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,25,Pedal cycle,800-1159,November,20 - 29
2,2,11/21/2012,615,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,66,Car,400-759,November,60 - 69
2,2,11/21/2012,615,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,33,Car,400-759,November,30 - 39
2,1,11/21/2012,1859,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Serious,Male,21,Pedal cycle,1600-1959,November,20 - 29
2,1,11/21/2012,1357,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,40,Car,1200-1559,November,40 - 49
1,1,11/21/2012,2200,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,41,Car,2000-2359,November,40 - 49
2,1,11/21/2012,1345,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,21,Car,1200-1559,November,20 - 29
1,1,11/21/2012,1740,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,78,Car,1600-1959,November,70 - 79
2,1,11/22/2012,755,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,50,Car,400-759,November,50 - 59
2,2,11/22/2012,815,Wet / Damp,Daylight: street lights present,Fine with high winds,Driver,Slight,Male,25,Car,800-1159,November,20 - 29
2,2,11/22/2012,815,Wet / Damp,Daylight: street lights present,Fine with high winds,Driver,Slight,Male,51,Taxi/Private hire car,800-1159,November,50 - 59
2,1,11/22/2012,800,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,32,Pedal cycle,800-1159,November,30 - 39
2,4,11/22/2012,1255,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,27,Car,1200-1559,November,20 - 29
2,4,11/22/2012,1255,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,41,Taxi/Private hire car,1200-1559,November,40 - 49
2,4,11/22/2012,1255,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,46,Taxi/Private hire car,1200-1559,November,40 - 49
2,4,11/22/2012,1255,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,45,Taxi/Private hire car,1200-1559,November,40 - 49
3,2,11/22/2012,1800,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Female,44,Car,1600-1959,November,40 - 49
3,2,11/22/2012,1800,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Female,52,Car,1600-1959,November,50 - 59
2,1,11/22/2012,1530,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,23,Motorcycle over 125cc and up to 500cc,1200-1559,November,20 - 29
2,2,11/22/2012,1644,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,60,Car,1600-1959,November,60 - 69
2,2,11/22/2012,1644,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,48,Car,1600-1959,November,40 - 49
3,1,11/22/2012,1630,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,34,Car,1600-1959,November,30 - 39
2,1,11/23/2012,1935,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,20,Pedal cycle,1600-1959,November,20 - 29
2,1,11/23/2012,1910,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,34,Pedal cycle,1600-1959,November,30 - 39
2,1,11/23/2012,945,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,20,Motorcycle over 50cc and up to 125cc,800-1159,November,20 - 29
1,1,11/24/2012,210,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,25,Motorcycle over 125cc and up to 500cc,0-359,November,20 - 29
2,1,11/24/2012,830,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,47,Car,800-1159,November,40 - 49
2,1,11/24/2012,1528,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,29,Motorcycle over 50cc and up to 125cc,1200-1559,November,20 - 29
2,2,11/24/2012,1745,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,24,Car,1600-1959,November,20 - 29
2,2,11/24/2012,1745,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Female,25,Car,1600-1959,November,20 - 29
2,2,11/24/2012,950,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,44,Car,800-1159,November,40 - 49
2,2,11/24/2012,950,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,65,Car,800-1159,November,60 - 69
1,1,11/25/2012,455,Flood,Darkness: street lights present and lit,Raining with high winds,Driver,Slight,Male,33,Car,400-759,November,30 - 39
2,1,11/25/2012,540,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,26,Pedal cycle,400-759,November,20 - 29
2,1,11/25/2012,1300,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,54,Pedal cycle,1200-1559,November,50 - 59
2,2,11/26/2012,1555,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,27,Goods vehicle 3.5 tonnes mgw and under,1200-1559,November,20 - 29
2,2,11/26/2012,1555,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Female,51,Car,1200-1559,November,50 - 59
2,1,11/26/2012,1510,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,22,Car,1200-1559,November,20 - 29
2,1,11/26/2012,1630,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,42,Car,1600-1959,November,40 - 49
2,2,11/26/2012,1640,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,20,Car,1600-1959,November,20 - 29
2,2,11/26/2012,1640,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,67,Car,1600-1959,November,60 - 69
2,2,11/26/2012,2120,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Female,50,Car,2000-2359,November,50 - 59
2,2,11/26/2012,2120,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Female,45,Car,2000-2359,November,40 - 49
2,1,11/27/2012,550,Wet / Damp,Darkness: no street lighting,Raining without high winds,Driver,Slight,Male,62,Car,400-759,November,60 - 69
1,1,11/27/2012,845,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,2,Bus or coach (17 or more passenger seats),800-1159,November,0 - 9
1,1,11/27/2012,901,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,79,Car,800-1159,November,70 - 79
1,1,11/27/2012,1035,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,75,Car,800-1159,November,70 - 79
3,3,11/27/2012,1340,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,63,Car,1200-1559,November,60 - 69
3,3,11/27/2012,1340,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,56,Car,1200-1559,November,50 - 59
3,3,11/27/2012,1340,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,50,Car,1200-1559,November,50 - 59
1,1,11/27/2012,1720,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Female,16,Car,1600-1959,November,10 - 19
3,4,11/27/2012,2200,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,37,Car,2000-2359,November,30 - 39
3,4,11/27/2012,2200,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,35,Car,2000-2359,November,30 - 39
3,4,11/27/2012,2200,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,35,Car,2000-2359,November,30 - 39
3,4,11/27/2012,2200,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,49,Car,2000-2359,November,40 - 49
1,1,11/28/2012,1721,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Female,21,Car,1600-1959,November,20 - 29
3,2,11/28/2012,1635,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,28,Car,1600-1959,November,20 - 29
3,2,11/28/2012,1635,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,40,Car,1600-1959,November,40 - 49
2,3,11/28/2012,2215,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,26,Car,2000-2359,November,20 - 29
2,3,11/28/2012,2215,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,30,Car,2000-2359,November,30 - 39
2,3,11/28/2012,2215,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,21,Car,2000-2359,November,20 - 29
1,1,11/29/2012,1135,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,53,Car,800-1159,November,50 - 59
2,1,11/29/2012,1340,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,24,Car,1200-1559,November,20 - 29
2,1,11/29/2012,1650,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,28,Car,1600-1959,November,20 - 29
1,1,11/29/2012,1337,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,82,Bus or coach (17 or more passenger seats),1200-1559,November,80- 89
1,1,11/29/2012,2045,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,33,Car,2000-2359,November,30 - 39
1,1,11/29/2012,930,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,24,Motorcycle over 125cc and up to 500cc,800-1159,November,20 - 29
2,1,11/29/2012,130,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Serious,Male,42,Pedal cycle,0-359,November,40 - 49
1,1,11/30/2012,655,Frost / Ice,Darkness: no street lighting,Fine without high winds,Driver,Slight,Female,23,Car,400-759,November,20 - 29
2,1,11/30/2012,840,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,23,Car,800-1159,November,20 - 29
2,1,11/30/2012,1448,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,17,Car,1200-1559,November,10 - 19
1,1,11/30/2012,1550,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,10,Car,1200-1559,November,10 - 19
2,1,11/30/2012,1610,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,20,Pedal cycle,1600-1959,November,20 - 29
2,2,11/30/2012,2233,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,47,Car,2000-2359,November,40 - 49
2,2,11/30/2012,2233,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,57,Car,2000-2359,November,50 - 59
2,1,11/30/2012,1520,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,19,Motorcycle over 125cc and up to 500cc,1200-1559,November,10 - 19
2,1,11/30/2012,1935,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,28,Taxi/Private hire car,1600-1959,November,20 - 29
2,3,11/30/2012,900,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,21,Car,800-1159,November,20 - 29
2,3,11/30/2012,900,Frost / Ice,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,5,Car,800-1159,November,0 - 9
2,3,11/30/2012,900,Frost / Ice,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,2,Car,800-1159,November,0 - 9
1,1,12/1/2012,5,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,20,Taxi/Private hire car,0-359,December,20 - 29
1,1,12/1/2012,5,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,60,Car,0-359,December,60 - 69
2,2,12/1/2012,1600,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,32,Car,1600-1959,December,30 - 39
2,2,12/1/2012,1600,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,7,Car,1600-1959,December,0 - 9
2,1,12/1/2012,1825,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,34,Car,1600-1959,December,30 - 39
2,2,12/1/2012,1520,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,17,Taxi/Private hire car,1200-1559,December,10 - 19
2,2,12/1/2012,1520,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,41,Taxi/Private hire car,1200-1559,December,40 - 49
2,5,12/1/2012,2325,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,53,Car,2000-2359,December,50 - 59
2,5,12/1/2012,2325,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,31,Car,2000-2359,December,30 - 39
2,5,12/1/2012,2325,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,32,Car,2000-2359,December,30 - 39
2,5,12/1/2012,2325,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,27,Car,2000-2359,December,20 - 29
2,5,12/1/2012,2325,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,31,Car,2000-2359,December,30 - 39
1,1,12/1/2012,915,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,50,Car,800-1159,December,50 - 59
2,1,12/1/2012,1800,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,30,Taxi/Private hire car,1600-1959,December,30 - 39
2,1,12/1/2012,945,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,37,Car,800-1159,December,30 - 39
2,2,12/1/2012,1600,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,65,Car,1600-1959,December,60 - 69
2,2,12/1/2012,1600,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,30,Car,1600-1959,December,30 - 39
1,1,12/2/2012,1726,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Female,39,Car,1600-1959,December,30 - 39
1,1,12/2/2012,1930,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,52,Car,1600-1959,December,50 - 59
1,1,12/3/2012,535,Frost / Ice,Darkness: no street lighting,Raining without high winds,Driver,Slight,Male,47,Car,400-759,December,40 - 49
2,1,12/3/2012,620,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,Driver,Slight,Male,40,Goods vehicle 3.5 tonnes mgw and under,400-759,December,40 - 49
2,1,12/3/2012,900,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,35,Car,800-1159,December,30 - 39
2,3,12/3/2012,655,Frost / Ice,Darkness: street lights present but unlit,Fine without high winds,Driver,Slight,Male,44,Car,400-759,December,40 - 49
2,3,12/3/2012,655,Frost / Ice,Darkness: street lights present but unlit,Fine without high winds,Driver,Slight,Male,34,Car,400-759,December,30 - 39
2,3,12/3/2012,655,Frost / Ice,Darkness: street lights present but unlit,Fine without high winds,Passenger,Slight,Male,36,Car,400-759,December,30 - 39
2,1,12/3/2012,2318,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,24,Car,2000-2359,December,20 - 29
2,3,12/3/2012,800,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,27,Car,800-1159,December,20 - 29
2,3,12/3/2012,800,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,25,Car,800-1159,December,20 - 29
2,3,12/3/2012,800,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,27,Car,800-1159,December,20 - 29
2,2,12/3/2012,1320,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,43,Car,1200-1559,December,40 - 49
2,2,12/3/2012,1320,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,53,Goods vehicle 7.5 tonnes mgw and over,1200-1559,December,50 - 59
2,1,12/3/2012,830,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,35,Car,800-1159,December,30 - 39
2,1,12/4/2012,728,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,36,Pedal cycle,400-759,December,30 - 39
1,1,12/4/2012,820,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,23,Car,800-1159,December,20 - 29
2,1,12/4/2012,1425,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,25,Motorcycle over 50cc and up to 125cc,1200-1559,December,20 - 29
2,1,12/4/2012,1915,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,24,Car,1600-1959,December,20 - 29
2,1,12/5/2012,845,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,29,Pedal cycle,800-1159,December,20 - 29
4,1,12/5/2012,830,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,43,Car,800-1159,December,40 - 49
2,1,12/5/2012,910,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,35,Car,800-1159,December,30 - 39
3,1,12/5/2012,1148,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,93,Car,800-1159,December,90 - 99
2,2,12/5/2012,1505,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,58,Bus or coach (17 or more passenger seats),1200-1559,December,50 - 59
2,2,12/5/2012,1505,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,36,Bus or coach (17 or more passenger seats),1200-1559,December,30 - 39
2,1,12/5/2012,1614,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,62,Car,1600-1959,December,60 - 69
2,2,12/5/2012,1830,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,35,Motorcycle over 50cc and up to 125cc,1600-1959,December,30 - 39
2,2,12/5/2012,1830,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,59,Car,1600-1959,December,50 - 59
2,1,12/5/2012,1920,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,30,Pedal cycle,1600-1959,December,30 - 39
1,1,12/5/2012,850,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,4,Bus or coach (17 or more passenger seats),800-1159,December,0 - 9
2,1,12/5/2012,2320,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,27,Car,2000-2359,December,20 - 29
2,1,12/6/2012,1620,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,39,Car,1600-1959,December,30 - 39
1,1,12/6/2012,845,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,21,Car,800-1159,December,20 - 29
2,1,12/6/2012,1040,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,38,Car,800-1159,December,30 - 39
2,1,12/7/2012,620,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,26,Car,400-759,December,20 - 29
2,1,12/7/2012,756,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,28,Pedal cycle,400-759,December,20 - 29
2,1,12/7/2012,835,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,85,Car,800-1159,December,80- 89
2,1,12/7/2012,730,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,23,Car,400-759,December,20 - 29
2,3,12/7/2012,950,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,33,Car,800-1159,December,30 - 39
2,3,12/7/2012,950,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,33,Car,800-1159,December,30 - 39
2,3,12/7/2012,950,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,31,Car,800-1159,December,30 - 39
2,1,12/7/2012,1130,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,72,Car,800-1159,December,70 - 79
2,1,12/7/2012,1849,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,45,Pedal cycle,1600-1959,December,40 - 49
